temperature,humidity,smoke,temp_max,temp_min,pressure,clouds_all,wind_speed,wind_deg,wind_gust,temp_local,ForestFire
96.04,33.96,4383.39,103.55,91.5,985.63,27.02,21.72,172.27,33.84,106.3,1
97.24,14.83,1779.22,100.82,93.28,984.25,3.81,24.12,275.75,25.96,108.03,1
27.6,63.06,1038.02,36.81,24.46,963.51,82.96,8.86,70.27,11.16,28.59,0
34.89,88.79,366.97,39.99,33.19,988.0,73.37,20.01,124.88,25.16,38.61,0
23.22,11.28,4407.73,31.45,17.67,975.15,28.6,4.05,18.01,15.26,24.14,1
63.81,5.94,4518.56,67.11,57.98,1004.44,10.46,12.91,252.71,13.9,99.65,1
99.13,15.42,3347.9,106.38,95.11,984.76,8.86,28.15,267.82,33.32,123.36,1
90.34,29.8,1864.62,94.99,80.56,1014.69,33.04,9.79,164.59,14.57,98.41,1
43.47,90.41,1210.87,44.75,37.46,981.44,56.02,4.63,193.78,11.91,43.63,0
79.55,23.41,4347.42,84.27,70.55,1011.0,23.01,4.38,269.93,11.34,101.09,1
29.93,83.87,1181.88,35.88,23.79,981.64,40.81,11.81,96.59,22.53,27.85,0
32.17,94.27,1272.75,34.53,29.46,984.64,73.32,6.76,218.51,16.14,29.33,0
32.96,78.34,152.82,35.61,23.19,969.34,91.09,12.81,347.01,26.35,37.58,0
34.03,81.31,1386.1,39.22,25.06,972.01,41.67,21.57,236.87,24.28,35.06,0
85.99,24.87,1606.75,90.08,80.75,1014.65,2.66,26.64,28.12,33.13,84.94,1
26.98,40.38,1303.83,31.95,23.8,957.86,90.73,3.3,104.49,9.31,29.44,0
71.7,7.37,3220.29,76.85,68.69,949.72,36.08,23.05,186.89,24.74,90.71,1
94.01,25.99,3746.51,96.27,85.76,1006.42,15.57,3.1,26.16,5.58,118.51,1
29.39,90.48,914.33,32.02,27.77,986.15,99.8,11.38,243.57,16.43,24.65,0
28.07,88.61,136.42,36.7,21.32,962.77,43.89,29.9,235.52,40.92,31.53,0
87.87,24.22,2277.7,90.33,81.1,974.59,34.25,2.06,315.48,4.31,111.03,1
34.22,92.02,613.5,41.22,31.58,981.99,93.11,0.69,180.0,4.67,37.88,0
18.71,69.56,227.6,23.48,11.37,987.37,57.84,10.01,249.17,20.16,15.42,0
29.29,40.38,1468.84,39.01,21.94,1005.68,89.19,28.53,65.53,37.48,32.54,0
26.65,40.61,1351.63,28.24,22.5,971.55,59.99,0.6,1.03,2.17,25.12,0
59.61,16.64,1504.35,68.08,54.26,994.12,13.49,6.68,62.01,20.84,74.01,1
84.13,32.83,1722.43,89.55,75.63,1006.78,2.32,18.09,22.4,20.32,79.14,1
109.24,28.63,3681.39,110.29,103.54,1007.5,6.67,7.01,153.98,7.93,124.56,1
88.97,33.32,3301.13,92.35,82.41,960.34,30.89,1.61,168.59,6.18,97.19,1
99.24,12.14,3021.81,103.91,94.52,968.01,36.83,1.57,232.01,1.97,99.28,1
41.52,59.75,1350.85,45.34,39.17,987.59,46.95,16.77,50.68,17.24,41.93,0
95.0,38.9,3263.64,99.26,85.02,1010.86,22.78,16.86,77.3,25.54,120.3,1
85.59,28.98,2845.73,94.84,79.8,1003.24,1.37,21.19,287.4,34.59,125.55,1
60.98,33.53,2064.4,65.23,56.95,986.72,11.63,3.95,207.55,9.99,78.41,1
86.37,1.51,4372.41,91.14,78.95,1018.7,17.95,15.0,10.57,19.53,96.25,1
34.56,81.86,671.46,42.41,27.98,975.12,93.4,18.03,305.43,31.75,30.2,0
26.33,78.94,1451.92,34.47,23.23,1007.4,86.69,6.67,226.73,7.59,29.91,0
21.03,58.07,696.2,22.79,12.14,1005.47,93.89,16.42,67.19,23.52,20.7,0
35.73,45.64,961.99,43.07,34.1,1012.64,50.03,21.25,90.74,25.04,32.93,0
56.22,17.73,4339.85,61.56,49.76,1019.01,30.38,29.73,199.28,35.45,59.44,1
101.08,1.69,4716.2,103.28,95.78,979.66,25.02,17.89,201.89,24.05,96.94,1
39.23,56.21,1080.15,42.61,35.37,955.65,49.24,25.84,289.87,34.01,34.29,0
65.91,12.11,4060.64,67.31,57.47,976.87,28.95,25.01,129.09,31.81,101.02,1
14.02,75.07,771.84,18.27,7.12,1008.31,40.53,28.21,197.75,43.03,18.26,0
44.9,92.5,450.17,48.2,37.07,1006.89,66.08,21.69,209.71,22.07,42.4,0
50.55,77.72,965.77,54.98,45.81,966.88,41.29,6.39,201.12,17.76,53.77,0
45.43,90.97,1362.64,51.65,35.95,943.78,71.4,8.94,26.25,9.71,42.04,0
72.74,36.03,3577.43,80.33,68.64,980.79,3.91,23.54,148.05,30.01,99.59,1
18.45,80.03,200.89,24.9,12.67,977.93,77.38,15.62,122.0,18.65,19.5,0
72.23,16.29,2193.35,79.34,62.83,946.86,0.39,7.54,357.4,21.72,99.84,1
73.89,29.23,1843.86,82.68,72.14,1003.59,6.2,19.7,167.65,30.54,97.22,1
28.93,86.55,994.12,37.79,26.95,962.69,83.33,27.2,156.68,34.14,29.05,0
66.04,1.98,4379.97,74.78,56.09,991.66,31.82,10.73,174.13,25.01,63.41,1
113.57,18.48,4476.72,115.95,103.83,948.12,9.45,17.89,330.94,28.71,119.28,1
33.02,40.5,692.6,36.28,25.08,1008.86,88.96,17.45,220.12,31.72,33.1,0
43.76,83.59,1188.51,49.28,38.4,999.14,79.26,3.81,140.09,14.38,44.61,0
25.96,55.68,241.41,30.19,20.4,971.07,80.86,2.71,328.53,3.87,23.13,0
50.36,40.54,572.01,52.54,47.04,990.36,53.62,26.68,334.74,35.93,52.75,0
49.92,84.27,699.41,53.51,45.03,955.0,59.5,28.01,95.15,42.71,45.65,0
102.79,11.37,2127.76,112.57,97.91,1018.83,29.55,27.13,141.62,30.34,104.27,1
72.25,9.83,2328.13,76.38,70.93,1003.69,30.41,11.9,347.93,23.79,97.06,1
36.97,90.31,117.16,41.74,31.89,1003.12,49.9,8.63,194.78,11.4,36.33,0
26.52,69.76,296.98,27.58,21.21,952.27,72.68,28.27,155.43,35.05,30.46,0
77.73,9.12,2625.78,85.21,70.74,941.42,20.35,26.48,70.35,27.75,82.32,1
42.81,55.99,1193.84,47.53,37.16,986.83,66.62,24.59,138.4,29.7,39.3,0
42.16,56.79,273.75,44.09,33.41,951.53,68.24,10.03,227.24,21.67,46.03,0
31.56,83.81,519.96,41.27,27.25,1002.43,78.57,19.16,13.93,19.84,30.28,0
91.91,35.29,3155.19,99.91,87.22,973.29,25.27,22.51,29.99,27.32,90.3,1
17.7,48.99,835.66,25.24,11.56,967.09,92.52,17.28,1.94,26.73,17.72,0
77.36,3.51,4517.87,86.98,74.53,945.89,2.69,18.06,78.81,32.29,93.09,1
81.45,11.5,4371.5,86.11,76.9,1019.69,16.42,22.7,65.88,26.38,95.5,1
26.59,65.57,1228.67,34.06,19.41,1016.48,41.06,23.0,306.29,25.6,26.27,0
64.42,5.8,4056.49,67.28,59.72,950.53,38.14,7.2,66.69,10.25,81.54,1
37.33,65.91,205.43,44.61,28.17,966.62,70.67,11.72,238.03,15.27,34.04,0
97.72,25.47,1694.47,98.85,91.19,971.26,6.06,23.44,42.61,33.01,135.92,1
78.75,34.1,3865.9,80.88,76.36,963.74,14.99,7.84,213.68,22.82,74.3,1
84.86,9.96,3770.79,89.69,79.48,1014.76,7.3,27.47,156.82,35.32,103.98,1
37.59,48.77,63.86,38.7,29.71,997.71,58.03,25.17,147.12,29.24,34.2,0
107.13,10.16,3656.37,112.29,100.34,1016.47,30.93,26.86,308.36,38.07,142.38,1
45.32,72.66,728.7,51.03,36.36,1009.96,74.72,8.92,60.38,11.29,42.37,0
34.21,81.17,311.74,40.8,26.46,1000.36,56.5,3.15,214.28,3.6,29.59,0
48.48,48.28,1205.49,50.38,46.93,995.76,94.64,3.02,295.87,12.1,48.33,0
64.45,28.86,4326.63,67.08,62.44,1009.29,5.03,16.68,257.0,19.83,69.06,1
111.18,9.49,4209.37,117.7,104.33,994.73,36.39,9.17,354.0,15.16,137.7,1
26.76,86.59,694.24,33.69,23.62,955.1,46.57,7.91,0.76,11.37,27.82,0
112.59,14.97,1760.94,113.83,106.3,991.85,18.42,6.67,318.37,20.44,118.57,1
39.11,80.67,884.11,44.97,30.98,981.2,70.7,16.86,220.84,21.93,36.2,0
75.15,10.13,1825.02,83.21,68.95,1018.55,22.11,16.44,0.89,23.18,103.97,1
37.29,61.86,556.42,38.91,32.55,980.8,61.24,12.67,167.58,16.19,37.28,0
70.9,1.39,3108.36,75.62,64.09,943.08,10.17,4.15,276.28,5.43,99.13,1
43.77,76.18,1259.53,47.71,41.48,961.14,65.53,27.86,65.72,35.55,46.49,0
67.85,17.72,4552.07,77.07,60.34,1013.39,24.79,12.84,244.25,25.87,70.35,1
15.78,80.46,817.84,18.45,8.5,1016.99,56.65,3.71,50.28,8.98,17.57,0
36.82,42.36,522.62,40.68,31.19,998.28,68.31,1.11,289.24,12.83,37.99,0
30.14,50.48,1054.19,39.23,26.63,944.55,56.72,4.58,204.65,5.07,30.23,0
86.15,31.74,3888.22,90.13,77.98,941.88,22.1,8.91,12.2,12.45,111.21,1
58.09,28.9,1951.6,63.87,52.49,978.37,22.17,18.9,32.72,20.88,59.61,1
35.71,93.45,154.35,37.01,34.18,1019.97,60.08,29.13,310.99,35.17,39.25,0
115.97,1.37,4701.01,125.84,106.71,1009.54,9.66,8.16,11.88,21.58,125.38,1
65.3,38.69,2739.37,73.72,57.39,1014.65,22.61,23.69,107.48,29.3,65.09,1
113.12,14.32,3970.45,119.83,106.86,989.88,3.64,27.34,204.09,36.39,134.17,1
75.14,39.63,2018.71,76.69,70.21,1008.73,15.48,11.75,76.84,25.22,86.39,1
50.14,54.27,779.48,51.81,40.5,965.58,98.43,7.6,80.72,13.0,47.14,0
32.44,86.72,795.04,38.35,24.47,942.19,95.07,14.73,279.37,20.22,31.09,0
105.44,14.8,2027.7,109.0,99.62,1013.46,37.02,26.9,104.76,28.22,127.0,1
77.78,14.87,3984.59,84.39,70.91,957.47,28.0,0.33,13.89,5.57,78.65,1
72.24,33.85,3991.48,78.62,68.71,998.28,6.75,14.6,259.6,25.79,93.56,1
28.07,79.26,345.07,36.62,25.31,992.72,40.9,22.73,343.57,35.4,32.6,0
40.5,41.66,357.02,44.04,37.04,952.65,77.91,18.03,299.5,28.88,44.22,0
97.83,24.93,3862.18,104.03,94.19,955.66,9.42,14.92,197.48,15.02,128.62,1
80.08,19.07,4208.3,88.08,72.43,966.33,5.33,16.61,152.96,18.36,96.13,1
92.38,4.51,4882.69,97.79,90.12,1000.55,29.11,18.58,333.06,29.54,104.38,1
112.77,39.87,4610.24,121.24,104.77,943.14,22.84,20.46,275.84,34.6,144.35,1
87.63,22.51,4280.87,89.81,81.92,972.57,2.33,10.69,205.44,21.12,123.59,1
26.09,52.89,650.67,33.69,21.63,993.21,61.63,15.52,316.74,18.91,22.35,0
25.71,48.03,340.61,35.2,22.01,953.72,70.98,8.21,216.62,9.82,29.34,0
27.39,22.36,1922.13,31.37,21.77,949.55,26.06,29.52,350.46,42.67,46.72,1
87.77,37.76,2079.45,92.06,83.91,971.22,32.91,5.62,308.98,7.1,114.95,1
25.2,49.29,698.6,26.95,20.34,962.92,92.59,4.52,198.16,6.79,28.99,0
24.84,57.95,758.1,31.61,17.19,991.93,48.92,8.06,332.22,17.02,20.64,0
84.87,6.93,3650.61,90.84,78.24,1017.57,29.35,27.6,123.28,30.45,108.97,1
36.59,45.95,630.68,37.95,28.85,940.36,92.99,19.77,252.33,23.18,32.64,0
32.32,70.08,580.49,40.09,24.91,1012.19,53.28,13.68,61.66,15.81,34.5,0
81.72,4.18,2645.12,90.19,73.39,974.66,5.28,27.76,322.33,41.93,82.66,1
65.06,12.64,2972.24,74.23,62.25,993.12,25.9,27.0,89.3,28.88,80.43,1
99.8,21.05,3200.36,105.71,89.85,1008.08,30.75,12.05,341.65,26.02,115.27,1
25.37,47.02,1458.22,30.44,20.09,985.88,65.41,16.91,6.12,21.8,23.87,0
90.53,2.75,1880.48,99.42,83.07,947.78,19.79,27.16,245.46,39.48,127.41,1
35.74,73.52,1418.39,40.33,28.64,951.25,41.6,9.58,54.02,23.83,40.19,0
43.98,77.18,822.07,50.88,37.88,1003.14,69.29,12.23,277.49,20.01,43.39,0
81.68,11.89,4965.34,88.22,71.72,958.33,9.81,23.79,177.09,35.34,117.02,1
80.26,29.53,4516.52,84.61,77.3,985.52,9.51,20.96,327.47,24.95,77.53,1
89.6,23.56,3035.75,91.38,84.8,974.25,16.76,1.46,257.42,7.2,124.13,1
74.63,10.26,4998.93,75.82,72.48,964.29,15.62,3.52,276.58,11.82,104.05,1
43.27,11.22,3299.22,48.13,40.64,1002.96,22.17,25.39,43.37,38.14,47.63,1
39.39,79.86,190.62,44.72,31.97,998.5,61.7,0.89,34.76,10.2,41.72,0
29.36,94.64,455.97,37.77,28.32,991.69,53.54,27.6,306.2,27.93,32.86,0
17.46,78.13,242.59,22.19,8.45,969.81,55.24,8.15,81.28,12.72,12.92,0
20.01,77.78,165.97,23.54,13.31,958.12,75.86,17.95,312.1,30.93,24.97,0
99.73,19.78,4781.04,104.89,94.76,981.27,20.09,16.94,51.31,20.54,138.95,1
33.42,87.74,320.74,36.56,29.44,1005.37,43.52,11.89,111.04,17.41,35.45,0
49.14,8.38,2456.07,50.97,47.01,986.05,30.85,0.94,334.35,6.79,54.59,1
76.79,21.81,2539.01,78.8,67.49,1017.61,1.42,5.77,302.3,8.09,84.85,1
70.32,13.4,1742.51,74.19,62.91,941.23,21.5,18.45,19.53,23.7,107.51,1
60.68,21.53,2500.54,61.79,56.65,1019.87,14.18,13.39,161.32,25.65,83.84,1
76.49,31.45,1824.19,79.47,74.85,995.31,27.8,12.42,327.55,25.15,81.06,1
26.22,78.97,590.44,34.31,22.29,1006.61,54.46,2.93,5.31,11.64,27.09,0
42.58,82.66,515.06,45.69,39.91,966.8,54.43,10.41,38.64,20.59,43.61,0
86.14,28.08,4129.13,88.14,78.06,980.67,24.09,15.79,232.27,23.81,99.29,1
19.73,75.96,1394.15,29.28,12.26,1003.76,78.82,2.33,37.79,2.99,23.33,0
25.42,56.26,1113.76,32.02,19.94,1000.85,43.23,2.0,161.58,12.45,21.31,0
85.57,6.79,2508.6,87.11,76.59,966.72,36.34,14.75,182.82,29.69,90.34,1
26.12,53.22,714.01,27.68,23.49,965.95,89.2,16.84,309.69,20.25,24.55,0
63.07,5.09,2768.65,69.58,58.01,993.02,35.75,7.73,344.66,22.46,65.76,1
68.3,35.01,2547.62,74.16,60.91,1014.69,6.12,9.77,184.4,24.74,102.72,1
70.42,21.15,3720.75,72.04,68.81,975.1,1.72,23.91,183.73,26.03,69.29,1
29.34,74.83,479.3,32.36,24.98,968.24,78.0,26.08,261.65,39.97,29.59,0
12.91,46.23,528.17,22.27,6.76,1011.57,79.85,9.76,69.3,19.89,8.91,0
65.68,15.85,4113.33,71.83,61.38,994.64,28.39,10.67,338.71,17.67,73.88,1
29.11,90.91,718.96,34.07,23.79,971.06,80.66,24.91,0.43,30.08,30.08,0
78.74,1.82,4632.38,81.99,72.26,944.58,26.75,29.22,0.65,38.66,82.87,1
87.92,19.51,2034.08,90.12,83.6,997.72,1.6,9.62,225.24,22.26,127.86,1
85.27,37.32,2172.35,89.89,83.32,968.23,18.82,23.66,122.93,24.17,82.44,1
36.18,59.45,980.57,45.48,33.93,945.65,76.84,14.39,143.32,22.42,35.08,0
33.47,89.53,575.52,34.9,27.72,988.98,65.81,7.91,79.72,17.67,28.84,0
32.26,23.56,3433.44,42.18,29.69,965.84,10.0,20.45,146.81,20.84,71.18,1
14.7,44.07,1001.7,17.57,5.69,967.08,59.7,13.88,298.07,27.21,18.43,0
45.37,62.39,763.22,50.05,36.87,978.33,44.03,8.04,251.73,22.32,48.43,0
48.69,1.72,2831.53,50.09,44.55,997.4,0.94,3.22,34.08,12.4,87.47,1
19.85,24.78,3515.46,26.11,11.37,962.11,16.39,26.01,20.4,27.76,52.68,1
91.42,36.91,3681.58,96.78,85.62,946.48,30.09,26.36,182.23,40.35,89.03,1
84.87,5.15,4379.55,91.87,82.44,973.95,38.18,2.25,262.86,14.32,117.93,1
25.24,73.13,368.99,31.12,18.71,944.39,63.73,19.9,239.22,20.33,25.26,0
60.29,15.44,3492.52,64.87,53.17,995.78,0.06,4.88,311.08,13.56,75.84,1
60.61,32.54,3842.14,68.24,58.85,1016.74,8.75,19.39,47.98,21.11,55.72,1
18.79,63.52,551.09,20.02,14.96,992.7,64.87,27.23,218.07,29.34,18.29,0
67.47,35.4,1966.0,73.34,66.43,962.03,16.52,7.81,275.77,10.69,92.7,1
89.88,3.14,2201.59,91.91,86.03,954.54,25.83,10.44,337.62,16.38,120.46,1
22.91,37.7,3910.05,27.83,18.89,958.62,6.12,23.85,36.32,37.0,32.58,1
62.86,22.87,4476.49,70.98,56.19,957.73,36.63,22.06,86.27,22.53,63.63,1
57.48,26.69,2932.42,59.76,54.69,965.11,31.08,12.26,127.65,22.6,72.27,1
15.49,57.61,227.62,24.91,14.22,947.79,50.67,25.46,194.67,39.92,13.44,0
20.76,63.89,687.56,29.75,16.92,1011.66,65.14,27.62,147.1,37.24,25.64,0
95.96,7.5,2958.45,100.69,87.53,1010.81,21.67,13.58,310.0,25.81,101.28,1
42.81,2.91,2824.83,43.87,38.22,989.22,23.29,1.18,342.19,14.71,44.03,1
80.91,16.43,4756.04,89.02,76.17,944.95,34.4,15.28,25.23,26.01,95.72,1
91.17,34.29,2498.82,100.09,85.95,1004.32,8.0,22.19,251.89,32.09,114.43,1
117.13,30.44,3147.77,119.71,109.37,944.94,27.35,6.6,41.14,6.87,124.78,1
70.36,21.17,2155.32,79.61,65.04,948.51,4.28,2.98,323.26,10.77,70.51,1
86.49,23.31,3324.43,95.72,84.67,966.02,18.37,8.56,51.16,15.59,101.25,1
43.92,6.07,4500.91,49.16,41.07,974.52,25.43,0.35,356.94,8.19,82.21,1
32.16,33.79,2564.14,40.34,29.47,968.31,0.5,21.46,153.99,27.95,70.69,1
96.9,31.69,4337.77,101.9,91.32,953.22,4.32,4.38,137.5,17.98,123.79,1
79.89,26.6,4689.59,85.97,78.62,948.97,3.65,21.71,211.06,35.04,109.86,1
14.7,83.86,1245.04,18.58,11.15,1008.75,76.04,7.04,141.97,8.92,9.74,0
15.06,46.55,1428.03,17.49,8.59,969.05,63.88,29.76,84.49,37.76,12.14,0
31.81,62.44,751.87,39.53,27.62,957.49,70.49,15.95,226.49,30.35,29.1,0
117.38,26.13,2113.65,118.39,110.01,978.96,10.16,1.24,262.21,10.22,146.15,1
23.73,72.21,914.2,29.95,19.21,942.95,43.59,23.18,340.32,35.21,24.3,0
12.32,56.58,1172.15,21.1,2.51,988.02,95.44,12.3,147.28,17.9,9.38,0
80.17,23.44,2881.66,83.16,70.48,959.88,5.84,18.22,254.08,23.88,82.5,1
29.47,60.21,40.84,33.47,21.27,987.86,66.55,28.54,300.1,33.42,26.21,0
107.11,12.96,4680.47,113.4,97.52,989.13,22.56,15.52,299.3,15.85,136.86,1
30.69,74.86,1175.72,33.91,27.85,1004.74,41.95,24.13,12.34,38.0,31.38,0
28.67,51.84,1050.64,37.3,20.92,958.39,69.88,9.08,128.05,14.33,29.96,0
48.74,17.7,3239.02,53.04,44.84,977.08,4.03,21.44,4.83,26.94,50.9,1
16.88,86.61,62.1,23.11,9.35,1016.95,62.47,2.98,201.27,14.37,15.87,0
35.36,61.26,663.06,38.4,31.0,998.17,88.92,26.8,311.43,34.7,32.52,0
